sss2019-07-10 09:46:37,922 [22] INFO  SessionModule SESSION -> NOT Using
2019-07-10 09:46:37,924 [22] INFO  WSFedModule FED -> NOT Using
2019-07-10 09:46:38,165 [15] INFO  SessionModule SESSION -> NOT Using
2019-07-10 09:46:38,167 [15] INFO  WSFedModule FED -> NOT Using
2019-07-10 09:46:38,178 [11] INFO  SessionModule SESSION -> NOT Using
2019-07-10 09:46:38,189 [11] INFO  WSFedModule FED -> NOT Using
2019-07-10 09:46:38,268 [35] INFO  SessionModule SESSION -> NOT Using
2019-07-10 09:46:38,287 [35] INFO  WSFedModule FED -> NOT Using
2019-07-10 09:46:38,291 [36] INFO  SessionModule SESSION -> NOT Using
2019-07-10 09:46:38,295 [36] INFO  WSFedModule FED -> NOT Using
2019-07-10 09:46:38,298 [35] INFO  SessionModule SESSION -> NOT Using
2019-07-10 09:46:38,305 [35] INFO  WSFedModule FED -> NOT Using
2019-07-10 09:46:38,306 [36] INFO  SessionModule SESSION -> NOT Using
2019-07-10 09:46:38,308 [35] INFO  SessionModule SESSION -> NOT Using
2019-07-10 09:46:38,310 [7] INFO  SessionModule SESSION -> NOT Using
2019-07-10 09:46:38,300 [28] INFO  SessionModule SESSION -> NOT Using
2019-07-10 09:46:38,312 [7] INFO  WSFedModule FED -> NOT Using
2019-07-10 09:46:38,316 [28] INFO  WSFedModule FED -> NOT Using
2019-07-10 09:46:38,311 [35] INFO  WSFedModule FED -> NOT Using
2019-07-10 09:46:38,308 [36] INFO  WSFedModule FED -> NOT Using
2019-07-10 09:46:38,331 [19] INFO  SessionModule SESSION -> NOT Using
2019-07-10 09:46:38,333 [19] INFO  WSFedModule FED -> NOT Using
2019-07-10 09:52:45,457 [34] INFO  MortysAwesomeClientApp.MvcApplication Application startup
2019-07-10 09:52:45,636 [34] INFO  MortysAwesomeClientApp.MvcApplication Configuring WSFederation
2019-07-10 09:52:45,683 [14] INFO  SessionModule SESSION -> NOT Using
2019-07-10 09:52:45,684 [14] INFO  WSFedModule FED2 -> NOT Using
2019-07-10 09:52:45,686 [14] INFO  WSFedModule FED -> NOT Using
2019-07-10 09:52:45,696 [11] INFO  SessionModule SESSION -> NOT Using
2019-07-10 09:52:45,697 [11] INFO  WSFedModule FED2 -> NOT Using
2019-07-10 09:52:48,436 [11] INFO  WSFedModule FED -> NOT Using
2019-07-10 09:52:48,453 [5] INFO  SessionModule SESSION -> NOT Using
2019-07-10 09:52:48,455 [5] INFO  WSFedModule FED2 -> NOT Using
